,Date,Change,Price
224,4/8/87,0.6%,1.3592834945474335
225,4/9/87,-4.5%,1.298115737292799
226,4/10/87,-0.3%,1.2942213900809205
227,4/13/87,-7.2%,1.2010374499950942
228,4/14/87,-6.7%,1.120567940845423
229,4/15/87,5.5%,1.1821991775919212
230,4/16/87,2.6%,1.2129363562093112
231,4/20/87,-1.0%,1.200806992647218
232,4/21/87,0.0%,1.200806992647218
233,4/22/87,1.2%,1.2152166765589847
234,4/23/87,-0.5%,1.2091405931761898
235,4/24/87,-5.6%,1.141428719958323
236,4/27/87,0.3%,1.1448530061181978
237,4/28/87,0.7%,1.1528669771610252
238,4/29/87,2.2%,1.1782300506585677
239,4/30/87,4.0%,1.2253592526849104
240,5/1/87,-0.4%,1.2204578156741708
241,5/4/87,1.3%,1.2363237672779348
242,5/5/87,6.3%,1.3142121646164446
243,5/6/87,0.2%,1.3168405889456776
244,5/7/87,-0.5%,1.310256386000949
245,5/8/87,-1.4%,1.2919127965969357
246,5/11/87,-1.8%,1.2686583662581907
247,5/12/87,1.7%,1.2902255584845799
248,5/13/87,0.7%,1.2992571373939719
249,5/14/87,0.3%,1.3031549088061536
250,5/15/87,-6.9%,1.213237220098529
251,5/18/87,-1.0%,1.2011048478975437
252,5/19/87,-7.2%,1.1146252988489205
253,5/20/87,-1.5%,1.0979059193661866
254,5/21/87,2.1%,1.1209619436728764
255,5/22/87,2.2%,1.1456231064336797
256,5/26/87,7.3%,1.2292535932033382
257,5/27/87,-0.4%,1.2243365788305247
258,5/28/87,2.0%,1.2488233104071351
259,5/29/87,-0.7%,1.2400815472342852
260,6/1/87,-0.3%,1.2363613025925824
261,6/2/87,-1.5%,1.2178158830536936
262,6/3/87,5.2%,1.2811423089724856
263,6/4/87,1.7%,1.3029217282250178
264,6/5/87,-1.8%,1.2794691371169675
265,6/8/87,3.3%,1.3216916186418273
266,6/9/87,0.7%,1.33094345997232
267,6/10/87,0.2%,1.3336053468922646
268,6/11/87,1.3%,1.3509422164018638
269,6/12/87,2.8%,1.388768598461116
270,6/15/87,1.4%,1.4082113588395717
271,6/16/87,1.6%,1.430742740581005
272,6/17/87,0.1%,1.4321734833215858
273,6/18/87,0.8%,1.4436308711881585
274,6/19/87,1.2%,1.4609544416424163
275,6/22/87,2.5%,1.4974783026834766
276,6/23/87,-1.3%,1.4780110847485914
277,6/24/87,-1.4%,1.4573189295621112
278,6/25/87,2.0%,1.4864653081533534
279,6/26/87,-1.8%,1.459708932606593
280,6/29/87,0.7%,1.469926895134839
281,6/30/87,-3.8%,1.414069673119715
282,7/1/87,-1.1%,1.3985149067153981
283,7/2/87,2.7%,1.4362748091967137
284,7/6/87,-0.8%,1.4247846107231399
285,7/7/87,2.4%,1.4589794413804953
286,7/8/87,0.8%,1.4706512769115392
287,7/9/87,-0.8%,1.4588860666962469
288,7/10/87,0.8%,1.470557155229817
289,7/13/87,-0.9%,1.4573221408327486
290,7/14/87,3.0%,1.501041805057731
291,7/15/87,-0.3%,1.4965386796425577
292,7/16/87,2.2%,1.529462530594694
293,7/17/87,1.8%,1.5569928561453985
294,7/20/87,-3.1%,1.5087260776048912
295,7/21/87,-2.8%,1.4664817474319543
296,7/22/87,-0.1%,1.4650152656845223
297,7/23/87,-0.6%,1.4562251740904153
298,7/24/87,1.3%,1.4751561013535905
299,7/27/87,1.2%,1.4928579745698336
300,7/28/87,1.7%,1.5182365601375207
301,7/29/87,3.2%,1.5668201300619213
302,7/30/87,2.2%,1.6012901729232836
303,7/31/87,0.5%,1.6092966237878998
304,8/3/87,-1.1%,1.5915943609262329
305,8/4/87,-1.2%,1.5724952285951181
306,8/5/87,2.0%,1.6039451331670205
307,8/6/87,3.5%,1.660083212827866
308,8/7/87,1.0%,1.6766840449561446
309,8/10/87,4.6%,1.7538115110241275
310,8/11/87,4.9%,1.8397482750643095
311,8/12/87,-0.9%,1.8231905405887308
312,8/13/87,2.0%,1.8596543514005055
313,8/14/87,-0.6%,1.8484964252921026
314,8/17/87,0.1%,1.8503449217173944
315,8/18/87,-4.4%,1.7689297451618289
316,8/19/87,0.5%,1.7777743938876378
317,8/20/87,4.6%,1.8595520160064691
318,8/21/87,0.8%,1.8744284321345208
319,8/24/87,-0.1%,1.8725540037023862
320,8/25/87,0.8%,1.8875344357320054
321,8/26/87,-2.0%,1.8497837470173653
322,8/27/87,-2.9%,1.7961400183538616
323,8/28/87,-3.9%,1.726090557638061
324,8/31/87,2.5%,1.7692428215790124
325,9/1/87,-5.9%,1.6648574951058506
326,9/2/87,-1.6%,1.638219775184157
327,9/3/87,-1.4%,1.6152846983315787
328,9/4/87,-3.3%,1.5619803032866366
329,9/8/87,-3.2%,1.5119969335814643
330,9/9/87,0.4%,1.51804492131579
331,9/10/87,3.0%,1.5635862689552638
332,9/11/87,4.6%,1.635511237327206
333,9/14/87,0.9%,1.6502308384631508
334,9/15/87,-4.9%,1.5693695273784563
335,9/16/87,-2.8%,1.5254271806118593
336,9/17/87,0.0%,1.5254271806118593
337,9/18/87,-0.1%,1.5239017534312476
338,9/21/87,-4.2%,1.4598978797871351
339,9/22/87,8.6%,1.585449097448829
340,9/23/87,1.5%,1.6092308339105612
341,9/24/87,-1.2%,1.5899200639036344
342,9/25/87,0.4%,1.596279744159249
343,9/28/87,4.4%,1.666516052902256
344,9/29/87,-3.1%,1.614854055262286
345,9/30/87,0.0%,1.614854055262286
346,10/1/87,5.2%,1.6988264661359251
347,10/2/87,0.6%,1.7090194249327406
348,10/5/87,0.0%,1.7090194249327406
349,10/6/87,-8.1%,1.5705888515131887
350,10/7/87,-0.7%,1.5595947295525965
351,10/8/87,-4.2%,1.4940917509113874
352,10/9/87,-2.8%,1.4522571818858685
353,10/12/87,-2.1%,1.4217597810662652
354,10/13/87,5.0%,1.4928477701195786
355,10/14/87,-8.9%,1.3599843185789362
356,10/15/87,-7.1%,1.2634254319598317
357,10/16/87,-15.6%,1.066331064574098
358,10/19/87,-61.5%,0.41053745986102774
359,10/20/87,15.9%,0.47581291597893116
360,10/21/87,27.2%,0.6052340291252004
361,10/22/87,-11.7%,0.534421647717552
362,10/23/87,0.0%,0.534421647717552
363,10/26/87,-24.9%,0.40135065743588155
364,10/27/87,7.3%,0.43064925542870086
365,10/28/87,0.0%,0.43064925542870086
366,10/29/87,14.7%,0.49395469597671987
367,10/30/87,8.6%,0.5364347998307178
368,11/2/87,4.7%,0.5616472354227615
369,11/3/87,-5.8%,0.5290716957682413
370,11/4/87,-2.2%,0.51743211846134
371,11/5/87,7.0%,0.5536523667536338
372,11/6/87,-4.8%,0.5270770531494594
