,Date,Change,Price
6899,9/30/13,0.5,12.756144632851798
6900,10/1/13,-0.8,12.654095475788983
6901,10/2/13,0.3,12.692057762216349
6902,10/3/13,-0.3,12.6539815889297
6903,10/4/13,-0.5,12.59071168098505
6904,10/7/13,1.0,12.7166187977949
6905,10/8/13,0.0,12.7166187977949
6906,10/9/13,-2.1,12.449569803041207
6907,10/10/13,0.3,12.48691851245033
6908,10/11/13,0.0,12.48691851245033
6909,10/14/13,-1.8,12.262153979226225
6910,10/15/13,-0.5,12.200843209330094
6911,10/16/13,3.2,12.591270192028658
6912,10/17/13,2.6,12.918643217021403
6913,10/18/13,0.5,12.983236433106509
6914,10/21/13,-1.0,12.853404068775443
6915,10/22/13,3.1,13.251859594907481
6916,10/23/13,1.3,13.424133769641276
6917,10/24/13,-1.3,13.24962003063594
6918,10/25/13,1.0,13.3821162309423
6919,10/28/13,-1.0,13.248295068632876
6920,10/29/13,0.5,13.31453654397604
6921,10/30/13,-1.5,13.1148184958164
6922,10/31/13,1.1,13.259081499270378
6923,11/1/13,-3.1,12.848049972792996
6924,11/4/13,0.3,12.886594122711374
6925,11/5/13,-3.4,12.448449922539186
6926,11/6/13,0.3,12.485795272306802
6927,11/7/13,2.1,12.747996973025245
6928,11/8/13,-6.5,11.919377169778604
6929,11/11/13,0.3,11.955135301287939
6930,11/12/13,-0.3,11.919269895384074
6931,11/13/13,1.1,12.050381864233298
6932,11/14/13,1.9,12.279339119653729
6933,11/15/13,0.3,12.316177137012689
6934,11/18/13,1.6,12.513235971204892
6935,11/19/13,-2.1,12.25045801580959
6936,11/20/13,-4.5,11.699187405098158
6937,11/21/13,0.3,11.734284967313451
6938,11/22/13,2.4,12.015907806528974
6939,11/25/13,0.8,12.112035068981205
6940,11/26/13,1.1,12.245267454739997
6941,11/27/13,-0.5,12.184041117466297
6942,11/29/13,0.8,12.281513446406027
6943,12/2/13,-2.4,11.986757123692282
6944,12/3/13,0.8,12.08265118068182
6945,12/4/13,-2.4,11.792667552345456
6946,12/5/13,-0.8,11.698326211926693
6947,12/6/13,0.8,11.791912821622107
6948,12/9/13,0.8,11.886248124195085
6949,12/10/13,2.1,12.13585933480318
6950,12/11/13,-2.4,11.844598710767904
