Date,Price,High,Low,Close,Adj Close,Volume
2020-08-14,28.504999,28.764999,28.309999,28.610001,28.57407,7134600
2020-08-17,28.885,28.995001,28.785,28.889999,28.853718,4849800
2020-08-18,29,29.190001,28.559999,29.055,29.018511,6408200
2020-08-19,29.195,29.33,28.555,28.719999,28.683931,8725800
2020-08-20,28.225,29.1,28.195,28.98,28.943604,6766200
2020-08-21,28.885,29.33,28.795,29.280001,29.243227,7092600
2020-08-24,29.969999,30.190001,29.695,30.174999,30.137102,6936400
2020-08-25,30.344999,30.51,30.004999,30.48,30.441721,8067600
2020-08-26,30.655001,31.485001,30.504999,31.41,31.370552,6783600
2020-08-27,31.67,32.035,31.125,31.605,31.565308,11451600
2020-08-28,31.924999,32.264999,31.565001,32.224998,32.184528,9331400
2020-08-31,32.16,32.424999,31.815001,31.860001,31.819986,8415200
2020-09-01,32.115002,32.799999,31.85,32.77,32.728848,10276200
2020-09-02,33.365002,34.474998,33.014999,34.185001,34.142067,13088600
2020-09-03,33.669998,33.810001,29.85,30.639999,30.601519,25688600
2020-09-04,30.85,31.295,27.855,29.92,29.882425,19516400
2020-09-08,28.35,28.700001,27.35,27.459999,27.425512,20648400
2020-09-09,28.52,29.73,28.275,29.045,29.008524,12566000
2020-09-10,29.575001,29.764999,27.285,27.540001,27.505413,18052800
2020-09-11,28.01,28.299999,26.825001,27.575001,27.540369,17754400
2020-09-14,28.440001,29.145,28.295,28.674999,28.638988,8035200
2020-09-15,29.360001,29.58,28.82,29.105,29.068445,8717000
2020-09-16,29.469999,29.855,28.690001,28.77,28.733868,10333000
2020-09-17,27.405001,28.469999,27.275,28.02,27.984812,14612600
2020-09-18,28.23,28.245001,26.365,27.040001,27.006041,17098600
2020-09-21,25.83,26.155001,24.84,26.145,26.112165,18475200
2020-09-22,26.504999,27.07,25.865,26.92,26.88619,8707200
2020-09-23,27.075001,27.135,24.924999,25.049999,25.018538,11749000
2020-09-24,24.709999,26.014999,24.385,25.254999,25.223284,14627000
2020-09-25,25.030001,26.665001,24.815001,26.455,26.421776,11708600
2020-09-28,27.549999,27.965,27.295,27.799999,27.765085,8615000
2020-09-29,27.745001,27.924999,27.15,27.344999,27.310658,7061800
2020-09-30,27.525,28.795,27.465,27.955,27.919891,13659400
2020-10-01,28.655001,28.91,27.98,28.475,28.439238,8014600
2020-10-02,27.139999,28.205,27.01,27.690001,27.655226,11139000
2020-10-05,28.235001,29.190001,28.219999,29.129999,29.093414,8081600
2020-10-06,29.190001,29.76,27.764999,27.91,27.874949,13865000
2020-10-07,28.700001,29.58,28.695,29.360001,29.323128,7007600
2020-10-08,29.895,30.15,29.65,30.115,30.077179,7647000
2020-10-09,30.610001,31.075001,30.434999,30.934999,30.896149,9155000
2020-10-12,31.719999,32.860001,31.545,32.424999,32.384274,10035000
2020-10-13,32.395,32.415001,31.514999,31.805,31.765057,7817000
2020-10-14,31.969999,32.290001,30.985001,31.23,31.190779,9496800
2020-10-15,30.049999,31.23,29.915001,31.08,31.040968,9637600
2020-10-16,31.469999,31.959999,30.975,31.014999,30.976048,7622800
2020-10-19,31.389999,31.57,29.355,29.610001,29.572813,11269400
2020-10-20,29.98,30.865,29.775,29.940001,29.902399,11731200
2020-10-21,29.934999,30.559999,29.709999,29.780001,29.742601,9335600
2020-10-22,29.844999,30.440001,29.25,30.299999,30.261946,10873200
2020-10-23,30.629999,30.65,29.9,30.57,30.531607,9725000
2020-10-26,29.615,29.844999,27.9,28.895,28.858713,18392800
2020-10-27,28.985001,29.08,28.535,28.594999,28.559088,8161000
2020-10-28,27.049999,27.225,25.530001,25.66,25.627773,19969200
2020-10-29,25.715,27.225,25.290001,26.424999,26.391811,12400400
2020-10-30,26.01,26.355,24.655001,25.584999,25.552868,18944800
2020-11-02,26.459999,26.955,25.754999,26.465,26.431765,13937800
2020-11-03,27.295,28.389999,27.165001,27.85,27.815023,13491600
2020-11-04,29.07,30.82,28.745001,29.705,29.667694,20369000
2020-11-05,31.209999,31.969999,31.110001,31.445,31.405508,17022400
2020-11-06,31.375,31.795,30.77,31.455,31.415495,13941800
2020-11-09,35.185001,35.275002,32.48,32.639999,32.599007,28330800
2020-11-10,32.314999,32.785,31.530001,32.494999,32.454185,14247000
2020-11-11,33.115002,33.439999,32.75,33.189999,33.148315,8015200
2020-11-12,32.895,33.125,31.68,32.23,32.189522,11904200
2020-11-13,32.794998,33.779999,32.634998,33.564999,33.522846,9809600
2020-11-16,34.384998,34.82,33.985001,34.785,34.74131,10209400
2020-11-17,34.075001,34.634998,33.610001,34.275002,34.231956,6924200
2020-11-18,34.34,34.509998,32.994999,33.009998,32.96854,8335600
2020-11-19,32.814999,33.540001,32.43,33.435001,33.393009,8866000
2020-11-20,33.349998,33.41,32.724998,32.75,32.70887,5304000
2020-11-23,33.264999,33.689999,32.615002,33.345001,33.303123,8794400
2020-11-24,34.095001,35.099998,33.845001,34.939999,34.896118,9808400
2020-11-25,34.915001,34.919998,34.439999,34.775002,34.731327,6243400
2020-11-27,35.115002,35.209999,34.755001,35.044998,35.000984,3632400
2020-11-30,34.805,34.895,33.764999,34.59,34.546558,9995000
2020-12-01,35.599998,36.195,35.415001,35.724998,35.68013,7728200
2020-12-02,35.365002,35.985001,35.185001,35.93,35.884872,7159400
2020-12-03,35.904999,36.355,35.580002,35.91,35.864899,7116200
2020-12-04,36.105,36.834999,36.075001,36.825001,36.778751,5830600
2020-12-07,36.610001,36.775002,36.200001,36.639999,36.593983,5255600
2020-12-08,36.200001,37.119999,36.195,36.939999,36.893604,4220000
2020-12-09,37.139999,37.200001,35.674999,35.955002,35.909847,8655200
2020-12-10,35.5,36.23,35.220001,35.884998,35.839928,6214000
2020-12-11,35.345001,35.845001,34.880001,35.75,35.705101,6650000
2020-12-14,36.459999,36.794998,35.209999,35.285,35.240685,7900400
2020-12-15,36.095001,36.720001,35.654999,36.705002,36.658909,6934600
2020-12-16,36.799999,37.189999,36.514999,36.884998,36.838673,6312800
2020-12-17,37.41,37.57,37.16,37.505001,37.457897,5938800
2020-12-18,37.605,37.634998,36.41,37.07,37.023441,12352400
2020-12-21,35.790001,36.950001,34.93,36.700001,36.653908,12077600
2020-12-22,36.759998,36.799999,36.125,36.455002,36.409218,6252400
2020-12-23,36.75,37.16,36.5,36.549999,36.51762,4289000
2020-12-24,36.705002,36.974998,36.514999,36.974998,36.942242,3174600
2020-12-28,37.799999,38.049999,37.584999,37.915001,37.881413,4363600
2020-12-29,38.424999,38.48,37.514999,37.689999,37.656609,5790400
2020-12-30,37.959999,38.189999,37.740002,37.84,37.806477,4217400
2020-12-31,37.805,38.665001,37.625,38.43,38.395954,5678600
2021-01-04,38.869999,38.91,35.634998,36.855,36.82235,14195000
2021-01-05,36.639999,37.955002,36.634998,37.584999,37.551701,8545800
2021-01-06,37.110001,39.325001,36.935001,38.290001,38.256077,15697800
2021-01-07,39.064999,40.224998,39.005001,39.974998,39.939587,10134000
2021-01-08,40.450001,40.73,39.345001,40.66,40.623981,12885600
2021-01-11,39.564999,40.439999,39.540001,39.849998,39.814697,9382800
2021-01-12,39.91,40.200001,39.105,39.880001,39.844673,9411200
2021-01-13,39.845001,40.514999,39.575001,40.169998,40.134411,6181000
2021-01-14,40.435001,40.599998,39.639999,39.755001,39.719784,7253600
2021-01-15,39.200001,39.470001,38.255001,38.875,38.840561,8500800
2021-01-19,39.689999,39.970001,39.215,39.794998,39.759743,8177200
2021-01-20,40.564999,41.720001,40.439999,41.43,41.393299,6933400
2021-01-21,41.619999,41.775002,41.23,41.525002,41.488216,4612200
2021-01-22,40.904999,41.490002,40.77,41.105,41.068584,7853600
2021-01-25,41.360001,41.700001,39.689999,41.599998,41.563145,10155600
2021-01-26,41.900002,42.049999,41.314999,41.404999,41.368317,4737800
2021-01-27,40.240002,40.25,37.580002,38.355,38.321022,14850000
2021-01-28,38.939999,40.645,38.810001,39.32,39.285164,13362400
2021-01-29,38.700001,39.029999,36.404999,37.005001,36.972218,15330000
2021-02-01,38.060001,39.150002,37.380001,38.77,38.735653,7982200
2021-02-02,39.865002,40.974998,39.849998,40.43,40.39418,7695400
2021-02-03,40.735001,41.130001,40.115002,40.555,40.519073,6377200
2021-02-04,40.904999,41.93,40.845001,41.915001,41.877869,5272800
2021-02-05,42.599998,42.665001,42.025002,42.400002,42.362438,5969800
2021-02-08,42.919998,43.360001,42.634998,43.360001,43.321587,4910800
2021-02-09,43.049999,43.459999,42.900002,43.240002,43.201694,4008800
2021-02-10,43.855,43.924999,42.334999,43.209999,43.171719,6938000
2021-02-11,43.59,43.724998,42.535,43.389999,43.351563,6182600
2021-02-12,43.084999,44.119999,43.084999,44.044998,44.005978,5201800
2021-02-16,44.474998,44.540001,43.665001,43.915001,43.876095,7512200
2021-02-17,43.275002,44.025002,42.919998,43.955002,43.916061,7880600
2021-02-18,43,43.639999,42.384998,43.400002,43.361553,8199200
2021-02-19,43.834999,43.924999,42.985001,43.16,43.121761,7556600
2021-02-22,42.145,43,42.055,42.18,42.142632,7823400
2021-02-23,41.380001,42.77,39.904999,42.310001,42.272518,13051000
2021-02-24,41.900002,43.84,41.575001,43.705002,43.666283,12564800
2021-02-25,43.25,43.73,40.005001,40.57,40.534058,20683400
2021-02-26,41.174999,41.560001,39.215,39.869999,39.834679,18970400
2021-03-01,41.529999,43.220001,41.529999,42.759998,42.722118,9865000
2021-03-02,42.884998,42.965,41.709999,41.785,41.747982,12509000
2021-03-03,41.549999,41.884998,40.105,40.139999,40.104439,16727000
2021-03-04,40.064999,40.935001,37.105,38.619999,38.585785,20259000
2021-03-05,39.779999,41.110001,37.380001,40.759998,40.723888,22432800
2021-03-08,41.084999,42.040001,40.049999,40.16,40.124424,15477000
2021-03-09,41.439999,42.724998,41.279999,41.860001,41.822918,8943400
2021-03-10,42.705002,43.235001,42.189999,42.625,42.587238,10816200
2021-03-11,43.525002,44.639999,43.355,43.939999,43.901073,7686200
