Date,Change,Price
8/22/94,-1.7,1.4204927752401817
8/23/94,0.3,1.424754253565902
8/24/94,2.2,1.456098847144352
8/25/94,-1.9,1.4284329690486093
8/26/94,1.2,1.445574164677193
8/29/94,-0.4,1.4397918680184838
8/30/94,1.2,1.4570693704347055
8/31/94,2.1,1.4876678272138342
9/1/94,0.0,1.4876678272138342
9/2/94,-1.0,1.4727911489416958
9/6/94,-2.0,1.4433353259628618
9/7/94,-1.0,1.4289019727032333
9/8/94,0.3,1.4331886786213428
9/9/94,-4.5,1.3686951880833824
9/12/94,-0.1,1.367326492895299
9/13/94,0.6,1.3755304518526708
9/14/94,0.6,1.3837836345637868
9/15/94,0.9,1.3962376872748608
9/16/94,-3.9,1.341784417471141
9/19/94,0.9,1.353860477228381
9/20/94,-0.7,1.3443834538877826
9/21/94,-1.0,1.3309396193489047
9/22/94,0.6,1.338925257064998
9/23/94,-0.4,1.333569556036738
9/26/94,-0.4,1.328235277812591
9/27/94,-1.0,1.3149529250344651
9/28/94,0.6,1.322842642584672
9/29/94,-1.0,1.3096142161588251
9/30/94,2.5,1.3423545715627958
10/3/94,-1.4,1.323561607560917
10/4/94,-0.7,1.3142966763079902
10/5/94,-1.7,1.2919536328107544
10/6/94,0.0,1.2919536328107544
10/7/94,1.0,1.304873169138862
10/10/94,-0.1,1.303568295969723
10/11/94,1.3,1.3205146838173294
10/12/94,-0.7,1.311271081030608
10/13/94,1.6,1.332251418327098
10/14/94,0.6,1.3402449268370604
10/17/94,-0.4,1.3348839471297125
10/18/94,-0.7,1.3255397594998042
10/19/94,-0.7,1.3162609811833057
10/20/94,-3.0,1.2767731517478065
10/21/94,0.3,1.2806034712030496
10/24/94,-1.4,1.262675022606207
10/25/94,-0.4,1.2576243225157822
10/26/94,-0.4,1.252593825225719
10/27/94,0.6,1.2601093881770733
10/28/94,2.3,1.2890919041051458
10/31/94,1.8,1.3122955583790386
11/1/94,-3.0,1.2729266916276674
11/2/94,-1.0,1.2601974247113907
11/3/94,0.3,1.2639780169855248
11/4/94,-2.0,1.2386984566458143
11/7/94,-0.1,1.2374597581891684
11/8/94,0.6,1.2448845167383034
11/9/94,1.7,1.2660475535228544
11/10/94,-1.4,1.2483228877735344
11/11/94,-0.4,1.2433295962224402
11/14/94,1.6,1.2632228697619994
11/15/94,1.3,1.2796447670689053
11/16/94,-1.7,1.257890806028734
11/17/94,-1.0,1.2453118979684463
11/18/94,0.3,1.2490478336623518
11/21/94,-0.4,1.2440516423277024
11/22/94,1.0,1.2564921587509794
11/23/94,4.7,1.3155472902122751
11/25/94,0.6,1.323440573953549
11/28/94,-1.7,1.3009420841963388
11/29/94,-1.7,1.278826068765001
11/30/94,3.5,1.323584981171776
12/1/94,-0.7,1.3143198863035734
12/2/94,3.0,1.3537494828926806
12/5/94,-0.8,1.3429194870295391
12/6/94,2.9,1.3818641521533956
12/7/94,-2.0,1.3542268691103276
12/8/94,0.9,1.3664149109323205
12/9/94,0.0,1.3664149109323205
12/12/94,-1.7,1.343185857446471
12/13/94,1.6,1.3646768311656146
12/14/94,-0.4,1.3592181238409522
12/15/94,0.0,1.3592181238409522
12/16/94,0.3,1.3632957782124748
12/19/94,0.2,1.3660223697688998
12/20/94,-0.4,1.3605582802898242
12/21/94,0.3,1.3646399551306936
12/22/94,-0.7,1.3550874754447788
12/23/94,1.3,1.3727036126255607
12/27/94,1.8,1.3974122776528208
12/28/94,-2.3,1.365271795266806
12/29/94,-0.7,1.3557148926999385
12/30/94,1.2,1.3719834714123376
1/3/95,-1.5,1.3514037193411526
1/4/95,2.3,1.382486004885999
1/5/95,-1.7,1.358983742802937
1/6/95,1.0,1.3725735802309664
1/9/95,-0.8,1.3615929915891187
1/10/95,0.6,1.3697625495386534
1/11/95,0.3,1.3738718371872691
1/12/95,-1.0,1.3601331188153964
1/13/95,2.6,1.3954965799045969
1/16/95,0.2,1.398287573064406
1/17/95,0.3,1.402482435783599
1/18/95,0.0,1.402482435783599
1/19/95,-1.3,1.3842501641184122
1/20/95,-2.0,1.3565651608360438
1/23/95,-0.4,1.3511389001926997
1/24/95,-0.7,1.3416809278913508
1/25/95,2.0,1.368514546449178
1/26/95,1.0,1.3821996919136696
1/27/95,2.9,1.422283482979166
1/30/95,-0.4,1.4165943490472492
1/31/95,3.5,1.4661751512639027
2/1/95,-2.0,1.4368516482386249
2/2/95,0.3,1.4411622031833404
2/3/95,3.9,1.4973675291074906
2/6/95,-0.4,1.4913780589910606
2/7/95,-0.4,1.4854125467550965
2/8/95,0.0,1.4854125467550965
2/9/95,-1.0,1.470558421287545
2/10/95,-1.0,1.45585283707467
2/13/95,0.2,1.4587645427488194
2/14/95,1.6,1.4821047754328005
2/15/95,1.3,1.5013721375134268
2/16/95,0.0,1.5013721375134268
2/17/95,-0.7,1.490862532550833
2/21/95,-0.8,1.478935632290426
2/22/95,2.2,1.5114722162008156
2/23/95,-0.4,1.5054263273360124
2/24/95,0.3,1.5099426063180204
2/27/95,1.5,1.5325917454127904
2/28/95,2.6,1.572439130793523
3/1/95,-0.4,1.566149374270349
3/2/95,-1.3,1.5457894324048345
3/3/95,-2.0,1.5148736437567378
3/6/95,-1.1,1.4982100336754136
3/7/95,-1.3,1.4787333032376333
3/8/95,2.6,1.5171803691218118
3/9/95,0.9,1.530834992443908
3/10/95,1.6,1.5553283523230106
3/13/95,0.5,1.5631049940846256
3/14/95,2.8,1.6068719339189952
3/15/95,0.0,1.6068719339189952
3/16/95,0.0,1.6068719339189952
3/17/95,-1.0,1.5908032145798052
3/20/95,-0.7,1.5796675920777463
3/21/95,-1.3,1.5591319133807358
3/22/95,-0.7,1.5482179899870705
3/23/95,-0.4,1.5420251180271225
3/24/95,2.8,1.5852018213318817
3/27/95,1.2,1.6042242431878644
3/28/95,-2.2,1.568931309837731
3/29/95,0.9,1.583051691626271
3/30/95,-1.3,1.5624720196351292
3/31/95,1.5,1.585909099929656
4/3/95,1.8,1.6144554637283897
4/4/95,0.0,1.6144554637283897
4/5/95,0.0,1.6144554637283897
4/6/95,0.6,1.62414219651076
4/7/95,-1.3,1.6030283479561205
4/10/95,-0.1,1.601425319608164
4/11/95,0.6,1.611033871525813
4/12/95,0.6,1.6207000747549678
4/13/95,0.6,1.6304242752034976
4/17/95,-1.1,1.6124896081762592
4/18/95,-0.4,1.606039649743554
4/19/95,0.3,1.6108577686927843
4/20/95,0.9,1.6253554886110193
4/21/95,0.3,1.6302315550768522
4/24/95,0.5,1.6383827128522364
4/25/95,0.0,1.6383827128522364
4/26/95,0.0,1.6383827128522364
4/27/95,-0.7,1.6269140338622707
4/28/95,1.4,1.6496908303363425
5/1/95,-0.4,1.643092067014997
5/2/95,0.9,1.657879895618132
5/3/95,2.2,1.694353253321731
5/4/95,2.8,1.7417951444147397
5/5/95,3.7,1.8062415647580847
5/8/95,0.2,1.8098540478876008
5/9/95,2.4,1.8532905450369035
5/10/95,-1.2,1.8310510584964603
5/11/95,-0.6,1.8200647521454816
5/12/95,0.0,1.8200647521454816
5/15/95,1.7,1.8510058529319544
5/16/95,2.1,1.8898769758435252
5/17/95,0.0,1.8898769758435252
5/18/95,-1.5,1.8615288212058725
5/19/95,0.3,1.86711340766949
5/22/95,-0.4,1.859644954038812
5/23/95,1.2,1.8819606934872777
5/24/95,3.6,1.94971127845282
5/25/95,0.9,1.967258679958895
5/26/95,-0.9,1.949553351839265
5/30/95,2.5,1.9982921856352465
5/31/95,1.7,2.032263152791045
6/1/95,1.7,2.066811626388493
6/2/95,2.9,2.126749163553759
6/5/95,0.2,2.131002661880866
6/6/95,0.3,2.137395669866509
6/7/95,-1.8,2.098922547808912
6/8/95,-1.2,2.073735477235205
6/9/95,-4.7,1.97626990980515
6/12/95,0.8,1.9920800690835911
6/13/95,5.3,2.0976603127450213
6/14/95,-0.6,2.085074350868551
6/15/95,-1.2,2.0600534586581287
6/16/95,-0.3,2.0538732982821544
6/19/95,1.9,2.092896890949515
6/20/95,-0.9,2.074060818930969
6/21/95,1.1,2.0968754879392097
6/22/95,2.3,2.1451036241618118
6/23/95,-0.9,2.125797691544355
6/26/95,-1.3,2.0981623215542786
6/27/95,-0.6,2.085573347624953
6/28/95,1.1,2.108514654448827
6/29/95,-3.8,2.0283910975797714
6/30/95,2.2,2.0730157017265265
7/3/95,-0.1,2.0709426860248
7/5/95,0.8,2.087510227512998
7/6/95,3.2,2.1543105547934145
7/7/95,0.0,2.1543105547934145
7/10/95,0.2,2.1586191759030013
7/11/95,-1.8,2.119764030736748
7/12/95,0.5,2.130362850890431
7/13/95,0.0,2.130362850890431
7/14/95,-1.2,2.104798496679745
7/17/95,-2.7,2.0479689372693923
7/18/95,-1.8,2.0111054963985437
7/19/95,-4.5,1.9206057490606088
7/20/95,0.0,1.9206057490606088
7/21/95,-2.7,1.8687493938359725
7/24/95,2.3,1.9117306298941996
7/25/95,1.5,1.940406589342612
7/26/95,-1.5,1.9113004905024729
7/27/95,1.8,1.9457038993315172
7/28/95,-1.8,1.91068122914355
7/31/95,2.8,1.9641803035595693
8/1/95,-1.8,1.928825058095497
8/2/95,1.8,1.9635439091412163
8/3/95,-2.4,1.916418855321827
8/4/95,0.9,1.9336666250197236
8/7/95,0.5,1.9433349581448216
8/8/95,0.3,1.949164963019256
8/9/95,-1.5,1.9199274885739672
8/10/95,-1.2,1.89688835871108
8/11/95,-1.8,1.86274436825428
8/14/95,-0.4,1.855293390781263
8/15/95,1.8,1.8886886718153255
8/16/95,0.9,1.905686869861664
8/17/95,-0.3,1.8999698092520785
8/18/95,0.3,1.9056697186798344
8/21/95,0.5,1.9151980672732336
8/22/95,-0.6,1.903706878869594
8/23/95,-0.9,1.886573516959768
8/24/95,2.4,1.9318512813668025
8/25/95,4.2,2.012989035184208
8/28/95,-0.4,2.0049370790434717
8/29/95,0.0,2.0049370790434717
8/30/95,0.6,2.016966701517732
8/31/95,2.8,2.0734417691602287
9/1/95,1.7,2.1086902792359523
9/5/95,1.3,2.1361032528660195
9/6/95,0.0,2.1361032528660195
9/7/95,-1.2,2.1104700138316272
9/8/95,0.0,2.1104700138316272
9/11/95,-0.4,2.102028133776301
9/12/95,2.3,2.150374780853156
9/13/95,-1.2,2.124570283482918
9/14/95,2.0,2.167061689152576
9/15/95,-0.6,2.154059319017661
9/18/95,-1.5,2.121748429232396
9/19/95,0.5,2.132357171378558
9/20/95,1.1,2.155813100263722
9/21/95,-2.6,2.099761959656865
9/22/95,-1.2,2.074564816140983
9/25/95,0.2,2.0787139457732646
9/26/95,-0.3,2.0724778039359446
9/27/95,-0.3,2.066260370524137
9/28/95,0.0,2.066260370524137
9/29/95,4.8,2.1654408683092954
10/2/95,0.5,2.1762680726508417
10/3/95,0.8,2.1936782172320486
10/4/95,1.1,2.217808677621601
10/5/95,0.3,2.2244621036544654
10/6/95,0.3,2.2311354899654288
10/9/95,0.2,2.2355977609453594
10/10/95,-0.3,2.2288909676625237
10/11/95,0.0,2.2288909676625237
10/12/95,1.1,2.253408768306811
10/13/95,3.4,2.3300246664292428
10/16/95,-1.0,2.3067244197649504
10/17/95,0.5,2.318258041863775
10/18/95,-0.6,2.304348493612592
10/19/95,0.5,2.315870236080655
10/20/95,-1.7,2.276500442067284
10/23/95,-0.7,2.260564938972813
10/24/95,2.0,2.3057762377522693
10/25/95,0.0,2.3057762377522693
10/26/95,-1.7,2.266578041710481
10/27/95,0.5,2.277910931919033
10/30/95,0.2,2.282466753782871
10/31/95,2.4,2.33724595587366
11/1/95,1.1,2.36295566138827
11/2/95,1.1,2.3889481736635405
11/3/95,-0.6,2.374614484621559
11/6/95,-0.4,2.365116026683073
11/7/95,-0.9,2.3438299824429256
11/8/95,1.9,2.388362752109341
11/9/95,-1.4,2.3549256735798103
11/10/95,-1.4,2.321956714149693
11/13/95,1.6,2.359108021576088
11/14/95,-0.6,2.344953373446632
11/15/95,-0.9,2.323848793085612
11/16/95,1.4,2.3563826761888103
11/17/95,0.5,2.368164589569754
11/20/95,-0.9,2.346851108263626
11/21/95,-0.6,2.3327700016140445
11/22/95,0.0,2.3327700016140445
11/24/95,0.8,2.3514321616269567
11/27/95,1.0,2.3749464832432263
11/28/95,-0.3,2.3678216437934965
11/29/95,0.5,2.379660752012464
11/30/95,4.1,2.477226842844974
12/1/95,1.1,2.504476338116269
12/4/95,2.9,2.5771061519216407
12/5/95,-0.9,2.553912196554346
12/6/95,0.0,2.553912196554346
12/7/95,-1.1,2.5258191623922484
12/8/95,0.2,2.530870800717033
12/11/95,0.4,2.540994283919901
12/12/95,-0.3,2.5333713010681413
12/13/95,-0.6,2.5181710732617324
12/14/95,-0.3,2.510616560041947
12/15/95,-0.3,2.503084710361821
12/18/95,-3.4,2.4179798302095192
12/19/95,2.5,2.478429325964757
12/20/95,0.0,2.478429325964757
12/21/95,0.0,2.478429325964757
12/22/95,1.6,2.5180841951801933
12/26/95,0.4,2.528156531960914
12/27/95,1.1,2.555966253812484
12/28/95,0.8,2.576413983842984
12/29/95,3.1,2.656282817342116
1/2/96,-0.7,2.637688837620721
1/3/96,0.5,2.650877281808824
1/4/96,-2.3,2.5899071043272213
1/5/96,-0.9,2.5665979403882764
1/8/96,0.2,2.571731136269053
1/9/96,-0.9,2.548585556042632
1/10/96,-3.1,2.46957940380531
1/11/96,0.0,2.46957940380531
1/12/96,0.5,2.4819273008243363
1/15/96,-0.1,2.479445373523512
1/16/96,2.2,2.533993171741029
1/17/96,2.2,2.589741021519332
1/18/96,0.8,2.6104589496914863
1/19/96,0.5,2.6235112444399435
1/22/96,-2.6,2.5552999520845048
1/23/96,-1.4,2.519525752755322
1/24/96,1.9,2.5673967420576727
